symbol,open,high,low,close,volume
OANDA:XAUUSD,2909.375,2910.56,2909.11,2910.135,1154.0
OANDA:XAUUSD,2910.11,2910.845,2908.97,2909.705,1034.0
OANDA:XAUUSD,2909.685,2909.685,2908.01,2909.355,669.0
OANDA:XAUUSD,2909.34,2909.395,2908.36,2908.785,495.0
OANDA:XAUUSD,2908.755,2908.755,2906.265,2907.275,1072.0
OANDA:XAUUSD,2907.245,2909.21,2906.615,2909.085,777.0
OANDA:XAUUSD,2909.09,2909.09,2907.915,2908.75,483.0
OANDA:XAUUSD,2908.8,2908.915,2907.91,2907.925,465.0
OANDA:XAUUSD,2907.905,2908.57,2907.3,2907.965,455.0
OANDA:XAUUSD,2908.015,2908.52,2907.66,2908.52,279.0
OANDA:XAUUSD,2908.515,2909.24,2908.06,2909.035,383.0
OANDA:XAUUSD,2908.97,2909.12,2908.33,2909.06,297.0
OANDA:XAUUSD,2909.125,2909.34,2907.735,2908.025,426.0
OANDA:XAUUSD,2908.07,2909.69,2907.965,2909.46,532.0
OANDA:XAUUSD,2909.455,2909.92,2908.745,2909.725,421.0
OANDA:XAUUSD,2909.855,2910.07,2908.92,2909.425,565.0
OANDA:XAUUSD,2909.43,2910.02,2909.125,2909.91,532.0
OANDA:XAUUSD,2909.89,2911.12,2909.59,2910.92,553.0
OANDA:XAUUSD,2911.06,2913.51,2910.53,2910.875,1299.0
OANDA:XAUUSD,2910.87,2913.175,2909.93,2912.52,1243.0
OANDA:XAUUSD,2912.515,2914.395,2911.94,2913.5,1364.0
OANDA:XAUUSD,2913.495,2914.15,2912.605,2913.12,763.0
OANDA:XAUUSD,2913.1,2913.53,2912.435,2912.74,718.0
OANDA:XAUUSD,2912.755,2913.555,2911.885,2913.235,579.0
OANDA:XAUUSD,2913.4,2915.33,2913.24,2914.635,1523.0
OANDA:XAUUSD,2914.63,2915.76,2914.26,2914.77,1228.0
OANDA:XAUUSD,2914.795,2915.37,2912.335,2912.475,1226.0
OANDA:XAUUSD,2912.48,2914.25,2912.135,2912.305,951.0
OANDA:XAUUSD,2912.245,2912.245,2910.705,2911.775,776.0
OANDA:XAUUSD,2911.78,2911.875,2910.42,2910.84,887.0
OANDA:XAUUSD,2910.73,2912.675,2910.07,2911.905,883.0
OANDA:XAUUSD,2911.91,2913.445,2911.36,2913.215,918.0
OANDA:XAUUSD,2913.29,2914.455,2912.44,2914.11,776.0
OANDA:XAUUSD,2914.13,2914.45,2913.185,2913.665,676.0
OANDA:XAUUSD,2913.655,2913.655,2912.195,2912.75,721.0
OANDA:XAUUSD,2912.74,2913.215,2911.77,2913.05,615.0
OANDA:XAUUSD,2913.045,2913.06,2911.435,2911.78,664.0
OANDA:XAUUSD,2911.695,2912.675,2911.335,2912.6,424.0
OANDA:XAUUSD,2912.605,2912.97,2911.27,2911.785,812.0
OANDA:XAUUSD,2911.79,2912.855,2910.955,2912.44,826.0
OANDA:XAUUSD,2912.43,2912.825,2911.555,2912.705,629.0
OANDA:XAUUSD,2912.69,2913.95,2912.66,2913.65,824.0
OANDA:XAUUSD,2913.66,2914.745,2913.55,2914.685,742.0
OANDA:XAUUSD,2914.695,2915.445,2913.98,2914.79,1162.0
OANDA:XAUUSD,2914.765,2915.285,2912.83,2913.65,1071.0
OANDA:XAUUSD,2913.625,2914.7,2913.365,2914.395,590.0
OANDA:XAUUSD,2914.4,2914.685,2913.705,2913.705,591.0
OANDA:XAUUSD,2913.695,2914.195,2913.22,2913.765,460.0
OANDA:XAUUSD,2913.76,2914.18,2911.82,2912.335,883.0
OANDA:XAUUSD,2912.41,2913.425,2912.285,2912.59,418.0
OANDA:XAUUSD,2912.585,2912.78,2911.12,2911.805,579.0
OANDA:XAUUSD,2911.815,2911.855,2908.64,2909.845,1115.0
OANDA:XAUUSD,2909.85,2911.605,2909.345,2911.44,1076.0
OANDA:XAUUSD,2911.435,2912.03,2910.75,2911.6,1270.0
OANDA:XAUUSD,2911.56,2911.83,2908.29,2908.56,1168.0
OANDA:XAUUSD,2908.585,2910.795,2908.445,2910.62,813.0
OANDA:XAUUSD,2910.73,2913.03,2910.35,2911.61,990.0
OANDA:XAUUSD,2911.64,2911.815,2910.425,2911.695,1015.0
OANDA:XAUUSD,2911.68,2911.68,2909.84,2910.27,937.0
OANDA:XAUUSD,2910.265,2911.09,2909.905,2910.65,820.0
OANDA:XAUUSD,2910.635,2910.965,2909.545,2910.275,723.0
OANDA:XAUUSD,2910.265,2911.97,2909.615,2911.845,709.0
OANDA:XAUUSD,2911.89,2913.39,2911.605,2912.085,810.0
OANDA:XAUUSD,2912.04,2912.535,2911.485,2912.18,744.0
OANDA:XAUUSD,2912.175,2912.545,2911.24,2912.38,667.0
OANDA:XAUUSD,2912.37,2912.95,2911.985,2912.515,487.0
OANDA:XAUUSD,2912.545,2912.98,2911.395,2911.42,808.0
OANDA:XAUUSD,2911.425,2912.625,2911.045,2912.56,605.0
OANDA:XAUUSD,2912.525,2912.56,2910.72,2911.545,752.0
OANDA:XAUUSD,2911.54,2911.675,2910.345,2911.055,522.0
OANDA:XAUUSD,2911.07,2911.915,2910.115,2911.695,581.0
OANDA:XAUUSD,2911.765,2912.27,2910.985,2912.185,706.0
OANDA:XAUUSD,2912.195,2913.44,2912.195,2913.295,692.0
OANDA:XAUUSD,2913.315,2913.49,2911.785,2911.97,783.0
OANDA:XAUUSD,2911.975,2912.345,2911.355,2912.085,497.0
OANDA:XAUUSD,2912.13,2912.35,2910.415,2911.635,1361.0
OANDA:XAUUSD,2911.63,2912.7,2911.475,2912.38,872.0
OANDA:XAUUSD,2912.415,2913.295,2912.05,2912.785,856.0
OANDA:XAUUSD,2912.785,2913.585,2912.135,2912.135,891.0
OANDA:XAUUSD,2912.13,2912.585,2911.62,2911.955,384.0
OANDA:XAUUSD,2911.95,2912.32,2911.55,2911.795,356.0
OANDA:XAUUSD,2911.835,2911.97,2910.695,2910.875,461.0
OANDA:XAUUSD,2910.855,2911.09,2910.285,2910.615,635.0
OANDA:XAUUSD,2910.61,2910.785,2909.695,2909.945,758.0
OANDA:XAUUSD,2909.91,2911.05,2908.255,2908.515,1095.0
OANDA:XAUUSD,2908.505,2909.645,2908.495,2909.18,522.0
OANDA:XAUUSD,2909.195,2909.695,2908.235,2908.235,498.0
OANDA:XAUUSD,2908.23,2909.595,2907.19,2909.595,676.0
OANDA:XAUUSD,2909.56,2910.725,2908.995,2910.715,604.0
OANDA:XAUUSD,2910.75,2911.46,2910.19,2911.335,1099.0
OANDA:XAUUSD,2911.375,2912.49,2911.095,2911.095,724.0
OANDA:XAUUSD,2911.1,2911.425,2909.945,2911.245,1135.0
OANDA:XAUUSD,2911.125,2911.705,2911.055,2911.525,800.0
OANDA:XAUUSD,2911.52,2911.795,2911.22,2911.495,475.0
OANDA:XAUUSD,2911.52,2912.355,2911.32,2911.93,860.0
OANDA:XAUUSD,2911.92,2912.55,2911.325,2911.35,915.0
OANDA:XAUUSD,2911.345,2912.1,2911.01,2911.72,555.0
OANDA:XAUUSD,2911.725,2913.005,2911.275,2912.425,1034.0
OANDA:XAUUSD,2912.415,2912.505,2911.79,2911.895,831.0
OANDA:XAUUSD,2911.84,2913.25,2911.79,2912.865,1060.0
OANDA:XAUUSD,2912.855,2913.61,2912.42,2913.435,709.0
OANDA:XAUUSD,2913.415,2914.935,2913.36,2914.32,1477.0
OANDA:XAUUSD,2914.31,2915.165,2913.44,2913.705,1953.0
OANDA:XAUUSD,2913.695,2913.935,2912.46,2912.855,1060.0
OANDA:XAUUSD,2912.88,2913.55,2912.23,2913.03,1257.0
OANDA:XAUUSD,2913.055,2913.4,2912.41,2913.37,996.0
OANDA:XAUUSD,2913.39,2914.13,2913.285,2913.65,709.0
OANDA:XAUUSD,2913.655,2915.495,2913.645,2914.57,790.0
OANDA:XAUUSD,2914.575,2915.52,2914.185,2914.375,909.0
OANDA:XAUUSD,2914.365,2915.51,2914.32,2915.255,609.0
OANDA:XAUUSD,2915.225,2916.88,2914.645,2916.4,1404.0
OANDA:XAUUSD,2916.385,2918.925,2916.37,2917.685,1504.0
OANDA:XAUUSD,2917.68,2918.53,2917.25,2917.615,1270.0
OANDA:XAUUSD,2917.63,2918.315,2916.855,2918.185,769.0
OANDA:XAUUSD,2918.145,2918.685,2916.595,2917.19,2272.0
OANDA:XAUUSD,2917.18,2917.49,2914.51,2914.555,2069.0
OANDA:XAUUSD,2914.46,2915.715,2913.49,2914.705,2457.0
OANDA:XAUUSD,2914.76,2917.59,2914.4,2916.96,2055.0
OANDA:XAUUSD,2916.955,2918.025,2914.975,2916.09,1700.0
OANDA:XAUUSD,2916.105,2918.66,2916.095,2917.825,1392.0
OANDA:XAUUSD,2917.91,2918.405,2915.935,2917.25,1494.0
OANDA:XAUUSD,2917.24,2919.02,2916.835,2918.685,1674.0
OANDA:XAUUSD,2918.69,2920.555,2918.595,2919.925,1832.0
OANDA:XAUUSD,2919.905,2921.37,2917.72,2918.71,1952.0
OANDA:XAUUSD,2918.715,2920.015,2918.315,2919.255,1317.0
OANDA:XAUUSD,2919.26,2919.865,2918.58,2918.77,1354.0
OANDA:XAUUSD,2918.785,2920.665,2918.775,2920.11,1516.0
OANDA:XAUUSD,2920.15,2921.17,2919.92,2920.975,1284.0
OANDA:XAUUSD,2920.985,2922.485,2919.86,2920.065,2029.0
OANDA:XAUUSD,2920.055,2920.445,2917.88,2920.26,2843.0
OANDA:XAUUSD,2920.29,2922.5,2920.08,2922.14,2105.0
OANDA:XAUUSD,2922.12,2923.33,2921.635,2923.18,1209.0
OANDA:XAUUSD,2923.15,2924.855,2922.37,2924.345,3760.0
OANDA:XAUUSD,2924.34,2924.85,2922.485,2922.605,2930.0
OANDA:XAUUSD,2922.75,2925.08,2922.59,2924.21,2243.0
OANDA:XAUUSD,2924.205,2925.705,2923.575,2925.705,2210.0
OANDA:XAUUSD,2925.72,2927.685,2925.705,2926.925,2798.0
OANDA:XAUUSD,2926.935,2928.775,2926.515,2927.985,1956.0
OANDA:XAUUSD,2928.05,2928.695,2925.0,2925.285,2878.0
OANDA:XAUUSD,2925.3,2928.435,2925.3,2927.81,2134.0
OANDA:XAUUSD,2927.8,2929.77,2926.75,2929.21,1587.0
OANDA:XAUUSD,2929.27,2929.495,2925.6,2926.16,2647.0
OANDA:XAUUSD,2926.035,2927.36,2925.93,2926.245,2282.0
OANDA:XAUUSD,2926.29,2927.47,2925.6,2926.49,2049.0
OANDA:XAUUSD,2926.5,2926.585,2923.67,2924.015,1852.0
OANDA:XAUUSD,2924.005,2927.35,2923.63,2926.695,2571.0
OANDA:XAUUSD,2926.69,2928.725,2926.69,2927.415,2314.0
OANDA:XAUUSD,2927.395,2928.6,2927.165,2928.34,1658.0
OANDA:XAUUSD,2928.335,2928.35,2926.24,2926.51,1549.0
OANDA:XAUUSD,2926.46,2927.695,2926.3,2927.14,1343.0
OANDA:XAUUSD,2927.135,2927.615,2924.38,2924.545,1773.0
OANDA:XAUUSD,2924.58,2927.52,2924.49,2926.49,1977.0
OANDA:XAUUSD,2926.5,2928.36,2926.26,2928.245,1595.0
OANDA:XAUUSD,2928.26,2929.07,2928.175,2928.455,2401.0
OANDA:XAUUSD,2928.43,2929.42,2927.54,2927.87,1624.0
OANDA:XAUUSD,2927.86,2928.425,2926.815,2928.085,1596.0
OANDA:XAUUSD,2927.89,2929.235,2927.305,2928.86,1359.0
OANDA:XAUUSD,2928.872,2930.63,2928.755,2929.705,1676.0
OANDA:XAUUSD,2929.735,2932.01,2929.59,2931.23,2152.0
OANDA:XAUUSD,2931.245,2932.535,2930.55,2932.37,1665.0
OANDA:XAUUSD,2932.405,2933.78,2932.24,2932.67,1924.0
OANDA:XAUUSD,2932.66,2933.525,2932.235,2932.955,1517.0
OANDA:XAUUSD,2932.945,2933.745,2930.99,2931.505,1203.0
OANDA:XAUUSD,2931.51,2932.85,2931.46,2932.045,1211.0
OANDA:XAUUSD,2932.06,2932.33,2931.185,2931.755,1312.0
OANDA:XAUUSD,2931.76,2931.985,2930.995,2931.65,561.0
OANDA:XAUUSD,2931.665,2932.87,2931.665,2932.365,1116.0
OANDA:XAUUSD,2932.27,2932.48,2931.4,2931.89,524.0
OANDA:XAUUSD,2931.92,2932.105,2930.955,2931.06,1016.0
OANDA:XAUUSD,2931.215,2932.805,2931.215,2931.335,1181.0
OANDA:XAUUSD,2931.4,2931.89,2931.04,2931.14,987.0
OANDA:XAUUSD,2931.185,2931.365,2929.65,2930.035,1694.0
OANDA:XAUUSD,2930.11,2931.715,2929.895,2930.61,1353.0
OANDA:XAUUSD,2930.605,2931.67,2930.115,2931.22,1496.0
OANDA:XAUUSD,2931.215,2931.395,2930.26,2930.78,1126.0
OANDA:XAUUSD,2930.77,2931.795,2930.41,2931.335,1184.0
OANDA:XAUUSD,2931.365,2932.1,2929.95,2930.005,1178.0
OANDA:XAUUSD,2930.0,2930.295,2929.365,2929.955,856.0
OANDA:XAUUSD,2929.97,2930.49,2928.81,2930.18,862.0
OANDA:XAUUSD,2930.155,2930.775,2928.415,2930.085,1340.0
OANDA:XAUUSD,2930.09,2932.005,2930.08,2931.525,937.0
OANDA:XAUUSD,2931.48,2932.365,2930.86,2931.295,953.0
OANDA:XAUUSD,2931.275,2932.09,2930.915,2932.06,661.0
OANDA:XAUUSD,2932.055,2933.495,2931.9,2933.355,571.0
OANDA:XAUUSD,2933.32,2933.78,2932.725,2932.985,891.0
OANDA:XAUUSD,2932.99,2933.645,2932.895,2933.355,842.0
OANDA:XAUUSD,2933.305,2933.785,2933.12,2933.485,652.0
OANDA:XAUUSD,2933.435,2933.485,2932.915,2933.165,432.0
OANDA:XAUUSD,2933.15,2933.515,2932.035,2932.18,572.0
OANDA:XAUUSD,2932.19,2932.66,2932.065,2932.21,624.0
OANDA:XAUUSD,2932.215,2933.21,2932.05,2933.005,930.0
OANDA:XAUUSD,2933.01,2933.705,2932.655,2933.44,815.0
OANDA:XAUUSD,2933.43,2934.0,2933.1,2933.96,906.0
OANDA:XAUUSD,2933.91,2935.75,2933.862,2935.39,709.0
OANDA:XAUUSD,2935.365,2935.525,2934.645,2935.42,357.0
OANDA:XAUUSD,2935.49,2936.855,2935.37,2936.71,847.0
OANDA:XAUUSD,2936.7,2936.955,2935.7,2936.2,730.0
OANDA:XAUUSD,2936.205,2936.95,2935.79,2935.79,618.0
OANDA:XAUUSD,2935.765,2936.735,2935.68,2936.665,783.0
OANDA:XAUUSD,2936.695,2936.695,2935.43,2936.095,495.0
OANDA:XAUUSD,2936.115,2936.76,2936.01,2936.66,295.0
OANDA:XAUUSD,2936.665,2936.72,2935.34,2935.375,541.0
OANDA:XAUUSD,2935.36,2935.75,2935.285,2935.705,499.0
OANDA:XAUUSD,2935.73,2935.795,2934.73,2934.805,521.0
OANDA:XAUUSD,2934.785,2935.08,2934.24,2934.495,797.0
OANDA:XAUUSD,2934.49,2934.55,2933.615,2934.18,789.0
OANDA:XAUUSD,2934.17,2934.46,2933.6,2933.985,695.0
OANDA:XAUUSD,2934.0,2935.2,2933.84,2935.005,299.0
OANDA:XAUUSD,2934.99,2935.085,2932.8,2932.87,897.0
OANDA:XAUUSD,2932.86,2933.825,2932.485,2933.605,1464.0
OANDA:XAUUSD,2933.585,2934.945,2933.47,2934.355,592.0
OANDA:XAUUSD,2934.35,2934.79,2934.05,2934.47,431.0
OANDA:XAUUSD,2934.4,2934.54,2933.68,2933.905,303.0
OANDA:XAUUSD,2933.9,2934.335,2933.56,2934.015,376.0
OANDA:XAUUSD,2934.045,2934.33,2933.6,2934.295,211.0
OANDA:XAUUSD,2934.285,2934.285,2933.35,2933.495,249.0
OANDA:XAUUSD,2933.48,2933.835,2933.32,2933.645,366.0
OANDA:XAUUSD,2933.64,2934.225,2933.385,2934.225,213.0
OANDA:XAUUSD,2934.26,2935.6,2934.23,2935.48,333.0
OANDA:XAUUSD,2935.455,2935.705,2934.995,2935.65,348.0
OANDA:XAUUSD,2935.67,2936.635,2935.57,2936.285,494.0
OANDA:XAUUSD,2936.26,2936.26,2935.28,2935.42,264.0
OANDA:XAUUSD,2935.06,2935.345,2935.06,2935.34,14.0
OANDA:XAUUSD,2935.335,2935.645,2934.725,2934.82,173.0
OANDA:XAUUSD,2934.81,2934.95,2934.585,2934.85,138.0
OANDA:XAUUSD,2934.84,2935.04,2933.785,2933.86,253.0
OANDA:XAUUSD,2933.855,2933.895,2933.52,2933.865,149.0
OANDA:XAUUSD,2933.87,2933.89,2933.54,2933.65,63.0
OANDA:XAUUSD,2933.615,2933.86,2933.22,2933.805,120.0
OANDA:XAUUSD,2933.825,2934.385,2933.805,2933.96,137.0
OANDA:XAUUSD,2933.93,2934.31,2933.93,2934.175,76.0
OANDA:XAUUSD,2934.08,2934.34,2933.53,2933.915,190.0
OANDA:XAUUSD,2933.965,2934.41,2933.835,2934.125,76.0
OANDA:XAUUSD,2934.13,2934.39,2933.94,2933.995,125.0
OANDA:XAUUSD,2934.005,2934.01,2933.035,2933.355,140.0
OANDA:XAUUSD,2933.36,2934.35,2933.26,2933.275,309.0
OANDA:XAUUSD,2933.265,2933.365,2932.5,2932.765,309.0
OANDA:XAUUSD,2932.77,2933.06,2932.55,2932.775,292.0
OANDA:XAUUSD,2932.78,2932.81,2932.185,2932.265,250.0
OANDA:XAUUSD,2932.27,2933.54,2932.075,2933.465,221.0
OANDA:XAUUSD,2933.43,2933.925,2932.93,2932.97,328.0
OANDA:XAUUSD,2932.91,2933.11,2932.45,2932.54,253.0
OANDA:XAUUSD,2932.54,2932.72,2932.295,2932.315,278.0
OANDA:XAUUSD,2932.305,2932.325,2931.155,2931.25,302.0
OANDA:XAUUSD,2931.32,2931.66,2930.275,2930.74,350.0
OANDA:XAUUSD,2930.745,2930.765,2928.555,2929.34,723.0
OANDA:XAUUSD,2929.32,2931.675,2928.21,2931.675,2118.0
OANDA:XAUUSD,2931.645,2932.345,2931.085,2932.1,1248.0
OANDA:XAUUSD,2932.095,2933.05,2931.93,2932.63,637.0
